ProdID,ReviewDifficulty
630,Very Easy
2304,Easy
7280,Very Easy
7281,Very Easy
7499,Easy
7895,Very Easy
8293,Easy
9843,Very Easy
10214,Challenging
10220,Challenging
10242,Average
10243,Challenging
10246,Challenging
10247,Challenging
10249,Average
10251,Challenging
10252,Average
10253,Challenging
10254,Average
10255,Challenging
10256,Challenging
10257,Challenging
10258,Average
10259,Average
10260,Challenging
10507,Easy
10508,Average
10572,Very Easy
10590,Easy
10592,Very Easy
10597,Easy
10607,Easy
10608,Average
10615,Very Easy
10616,Easy
10687,Very Easy
10692,Easy
10693,Easy
10694,Easy
10696,Easy
10698,Easy
10699,Very Easy
10700,Very Easy
10701,Very Easy
10703,Average
10706,Very Easy
10707,Average
10708,Easy
10709,Easy
10713,Very Easy
10714,Very Easy
10723,Easy
10725,Very Easy
10726,Very Easy
10730,Very Easy
10731,Easy
10733,Easy
10735,Easy
10736,Average
10737,Easy
10738,Average
10739,Easy
10740,Easy
10742,Easy
10743,Easy
10744,Average
10745,Challenging
10746,Easy
10747,Average
10748,Very Easy
10753,Easy
10759,Very Easy
10761,Very Easy
10801,Easy
10804,Easy
10805,Easy
10808,Very Easy
10809,Easy
10812,Average
10813,Average
10816,Easy
10820,Very Easy
10822,Very Easy
10823,Average
10827,Very Easy
10833,Average
10834,Average
10837,Easy
10838,Very Easy
10840,Easy
10845,Average
10846,Easy
10847,Easy
10850,Easy
10852,Very Easy
10856,Easy
10857,Easy
10878,Very Easy
17101,Average
21019,Average
21028,Average
21029,Average
21030,Average
21032,Easy
21033,Average
21034,Average
21035,Challenging
21036,Average
21039,Average
21119,Average
21121,Average
21122,Easy
21123,Easy
21124,Average
21125,Average
21126,Average
21129,Average
21130,Easy
21134,Average
21135,Challenging
21136,Easy
21137,Challenging
21138,Easy
21140,Average
21141,Average
21143,Average
21144,Easy
21307,Average
21308,Easy
21309,Challenging
21310,Average
21312,Easy
21313,Average
21314,Easy
31029,Average
31035,Easy
31043,Easy
31046,Average
31047,Average
31049,Average
31051,Average
31052,Average
31056,Easy
31057,Easy
31058,Easy
31059,Average
31062,Average
31063,Average
31064,Average
31066,Easy
31067,Average
31068,Average
31069,Average
31070,Average
31071,Average
31073,Easy
31074,Easy
31075,Easy
31076,Average
31079,Easy
31080,Easy
31081,Average
31313,Challenging
40171,Average
40270,Easy
40271,Easy
40307,Easy
40388,Easy
41066,Easy
41123,Easy
41124,Average
41126,Average
41127,Average
41128,Average
41130,Average
41132,Easy
41134,Easy
41142,Very Easy
41145,Average
41146,Average
41147,Easy
41148,Average
41149,Challenging
41150,Easy
41151,Average
41152,Easy
41153,Average
41154,Challenging
41181,Easy
41182,Average
41183,Average
41185,Average
41186,Average
41187,Average
41190,Easy
41191,Average
41192,Average
41193,Average
41230,Easy
41231,Average
41232,Average
41233,Average
41234,Average
41237,Average
41302,Easy
41306,Easy
41310,Easy
41311,Easy
41312,Average
41313,Easy
41314,Average
41315,Easy
41316,Easy
41317,Challenging
41318,Average
41319,Easy
41322,Average
41323,Average
41324,Average
41325,Challenging
41326,Easy
41327,Average
41328,Easy
41329,Easy
41334,Average
41335,Challenging
41336,Average
41338,Average
41340,Average
41485,Easy
41486,Very Easy
41487,Easy
41488,Very Easy
41585,Very Easy
41586,Easy
41587,Very Easy
41588,Easy
41590,Easy
41591,Easy
41592,Easy
41593,Easy
41594,Very Easy
41595,Easy
41596,Average
41597,Average
41598,Very Easy
41599,Easy
41600,Very Easy
41601,Easy
41602,Easy
41603,Easy
41604,Average
41605,Easy
41606,Easy
41608,Very Easy
41609,Very Easy
41611,Easy
41613,Very Easy
41614,Easy
42031,Easy
42032,Average
42033,Easy
42036,Average
42037,Average
42039,Challenging
42044,Average
42045,Easy
42049,Average
42052,Challenging
42053,Average
42054,Challenging
42055,Challenging
42056,Challenging
42057,Easy
42058,Easy
42059,Easy
42060,Easy
42061,Average
42062,Easy
42063,Average
42064,Challenging
42065,Easy
42066,Challenging
42068,Average
42069,Average
42070,Challenging
42071,Challenging
